team_name,canonical_team_name,phase25_decision,identity_feature_eligible,notes
SemperFi,SemperFi,,1,
Sharks Esports,Sharks Esports,,1,
Sheer Conquer,Sheer Conquer,,1,
Shimmer,Shimmer,,1,
Sinners Esports,Sinners Esports,,1,
SkinRave Esports,SkinRave Esports,,1,
SkyFury,SkyFury,,1,
Smoke Gaming,Smoke Gaming,,1,
Spirit Female,Spirit Female,,1,Youth/academy/junior/female roster - distinct from parent org 'Spirit'. Do not merge.
Spray Jutsu,Spray Jutsu,,1,
Sprout,Sprout,,1,
Steel Helmet,Steel Helmet,,1,
StormZ,StormZ,,1,
Stream Team,Stream Team,,1,
Strife Esports,Strife Esports,,1,
Supernova Comets,Supernova Comets,,1,
System5,System5,,1,
TDK,TDK,,1,
TEAM ASCEND,TEAM ASCEND,,1,
TEAM MAXX,TEAM MAXX,,1,
TEAM NEXT LEVEL,TEAM NEXT LEVEL,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
TEAM XDM,TEAM XDM,,1,
THE,THE,,1,
THE SUSPECT,THE SUSPECT,,1,
THUNDERdOWNUNDER,THUNDERdOWNUNDER,,1,
TIMACETA,TIMACETA,,1,
TNC Esport,TNC Esport,,1,
TNT,TNT,,1,
TSM,TSM,,1,
TSM Shimmer,TSM Shimmer,,1,
TYLOO,TYLOO,,1,
TaTTo4Ku,TaTTo4Ku,,1,
Take Flyte,Take Flyte,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Talon Esports,Talon Esports,,1,
Team 2S,Team 2S,EXCLUDE_FROM_IDENTITY_DEPENDENT_FEATURES,0,Generic/placeholder-looking name typical of ad-hoc lower-tier rosters - needs manual review before use as an identity key. Phase 2.5 proposed decision: EXCLUDE_FROM_IDENTITY_DEPENDENT_FEATURES (see reports/unresolved_team_review.md).
Team 3DMAX,Team 3DMAX,KEEP_AS_SINGLE_TEAM,1,Generic/placeholder-looking name typical of ad-hoc lower-tier rosters - needs manual review before use as an identity key. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md).
Team 7AM,Team 7AM,EXCLUDE_FROM_IDENTITY_DEPENDENT_FEATURES,0,Generic/placeholder-looking name typical of ad-hoc lower-tier rosters - needs manual review before use as an identity key. Phase 2.5 proposed decision: EXCLUDE_FROM_IDENTITY_DEPENDENT_FEATURES (see reports/unresolved_team_review.md).
Team AN,Team AN,,1,
Team Arise,Team Arise,,1,
Team Aunkere,Team Aunkere,,1,
Team BM,Team BM,,1,
Team BYE,Team BYE,,1,
Team Boombl4,Team Boombl4,,1,
Team BreeL,Team BreeL,,1,
Team Buster,Team Buster,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
Team By_Owl,Team By_Owl,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Team CM,Team CM,,1,
Team CS2NEWS,Team CS2NEWS,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
Team Chr1swave,Team Chr1swave,,1,
Team DD,Team DD,,1,
Team DM,Team DM,,1,
Team Denmark,Team Denmark,,1,
Team Dyrachyo,Team Dyrachyo,,1,
Team ES,Team ES,,1,
Team EndPoint,Team EndPoint,,1,
Team Evelone,Team Evelone,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Team FASTCUP,Team FASTCUP,,1,
Team Falcons,Team Falcons,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Team Flow,Team Flow,,1,
Team Fruktozka,Team Fruktozka,,1,
Team GOAT,Team GOAT,,1,
Team Germany,Team Germany,,1,
Team HAI,Team HAI,,1,
Team IEM,Team IEM,,1,
Team JL,Team JL,,1,
Team KIBER,Team KIBER,,1,
Team Legacy,Team Legacy,,1,
Team LenaGol0vach,Team LenaGol0vach,,1,
Team Liquid,Team Liquid,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Team Magnojez & Ct0m,Team Magnojez & Ct0m,,1,
Team Morphilina,Team Morphilina,,1,
Team NA,Team NA,,1,
Team NKT,Team NKT,,1,
Team Nemesis,Team Nemesis,,1,
Team Nemesis Asia,Team Nemesis Asia,,1,
Team OverDrive,Team OverDrive,,1,
Team Paradeev1ch,Team Paradeev1ch,,1,
Team Pigeons,Team Pigeons,,1,
Team Poland,Team Poland,,1,
Team Prodigy,Team Prodigy,,1,
Team QUAZAR,Team QUAZAR,,1,
Team Rachel,Team Rachel,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Team Recrent,Team Recrent,,1,
Team SR,Team SR,,1,
Team Sampi,Team Sampi,,1,
Team Secret,Team Secret,,1,
Team Shadowkek,Team Shadowkek,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
Team Shoke,Team Shoke,,1,
Team Shush,Team Shush,,1,
Team Skywhywalker,Team Skywhywalker,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Team Solid,Team Solid,,1,
Team Space,Team Space,,1,
Team Spirit,Team Spirit,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
Team Spirit Academy,Team Spirit Academy,,1,"Youth/academy/junior/female roster - distinct from parent org 'Team Spirit'. Do not merge. Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Team Spirit Staff,Team Spirit Staff,,1,
Team StRoGo,Team StRoGo,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
Team Tricksters,Team Tricksters,,1,
Team USA,Team USA,,1,
Team VACO,Team VACO,,1,
Team Venom,Team Venom,,1,
Team Vitality,Team Vitality,,1,
Team Voca,Team Voca,,1,
Team YEKINDAR & ultimate,Team YEKINDAR & ultimate,,1,
Team captainMo,Team captainMo,,1,
Team chopper,Team chopper,,1,
Team deko & tN1R,Team deko & tN1R,,1,
Team magixx,Team magixx,,1,
Team nafany,Team nafany,,1,
Team rain & broky,Team rain & broky,,1,
Team rigoN,Team rigoN,,1,
Team s1mple,Team s1mple,,1,
Team s1mple & Perfecto,Team s1mple & Perfecto,,1,
Team tabseN,Team tabseN,,1,
Team xiELO & Jame,Team xiELO & Jame,,1,
Team zoneR,Team zoneR,,1,
Teamwork,Teamwork,,1,
The Art of War,The Art of War,,1,
The Chosen Few,The Chosen Few,,1,
The Continental,The Continental,,1,
The Glecs,The Glecs,,1,
The Huns Esports,The Huns Esports,,1,
The Last Resort,The Last Resort,,1,
The Mongolz,The Mongolz,,1,
The Nomads,The Nomads,,1,
The Prodigies,The Prodigies,,1,
The Punishers,The Punishers,,1,
The Witchers,The Witchers,,1,
ThunderFlash,ThunderFlash,,1,
ToxicAndCritic,ToxicAndCritic,,1,
Tricked Esport,Tricked Esport,,1,
Troublemakers,Troublemakers,,1,
True Rippers Esports,True Rippers Esports,,1,
Turow Zgorzelec Esport,Turow Zgorzelec Esport,,1,
Twisted Minds,Twisted Minds,,1,
U. Resentment,U. Resentment,,1,
UGANDA,UGANDA,,1,
UNPAID,UNPAID,,1,
UNiTY,UNiTY,,1,
Ursa,Ursa,,1,
V1dar Gaming,V1dar Gaming,,1,
VC esport,VC esport,,1,
VERTEX,VERTEX,,1,
VODKA,VODKA,,1,
VOLT,VOLT,,1,
VP.Prodigy,VP.Prodigy,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
VRSDelivery,VRSDelivery,,1,
VRSoholics,VRSoholics,,1,
Vantage Esports,Vantage Esports,,1,
Verdant,Verdant,,1,
Vibe,Vibe,,1,
Vikings KR,Vikings KR,,1,
Virtual Cottage,Virtual Cottage,,1,
Virtus.pro,Virtus.pro,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Virtus.pro Staff,Virtus.pro Staff,,1,
Void Sentinels,Void Sentinels,,1,
Västerås Esport,Västerås Esport,,1,
WHITEBIRD,WHITEBIRD,,1,
WICKED,WICKED,,1,
WINNERS,WINNERS,,1,
WOPA Esport,WOPA Esport,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
WRAITH PCIFIC,WRAITH PCIFIC,,1,
WW Team,WW Team,,1,
Walczaki,Walczaki,,1,
Walk The Talk,Walk The Talk,,1,
Washington,Washington,,1,
Wicked Gaming,Wicked Gaming,,1,
Wild Lotus,Wild Lotus,,1,
Wildcard Gaming,Wildcard Gaming,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Wildcats,Wildcats,,1,
Wings Up Gaming,Wings Up Gaming,,1,
Winline Team,Winline Team,,1,
Woe from Wit,Woe from Wit,,1,
Wu-Tang Clan,Wu-Tang Clan,,1,
XI Esport,XI Esport,,1,
XNL Gaming,XNL Gaming,,1,
XO Esports,XO Esports,,1,
Y5 Esports,Y5 Esports,,1,
YYHuT,YYHuT,,1,
Yamato Esports,Yamato Esports,,1,
Young Ninjas,Young Ninjas,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Younglings,Younglings,,1,
ZaZaa,ZaZaa,,1,
Zerance,Zerance,,1,
Zero Tenacity,Zero Tenacity,,1,
Zomblers,Zomblers,,1,
adalYamigos,adalYamigos,,1,
against All authority,against All authority,,1,
b52,b52,,1,
bankaPEPSI,bankaPEPSI,,1,
benched,benched,,1,
bombardino crocodilo,bombardino crocodilo,,1,
boomerdemons,boomerdemons,,1,
brazylijski luz,brazylijski luz,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
bruh,bruh,,1,
cswalkers,cswalkers,,1,
ct0m + Yatoro Team,ct0m + Yatoro Team,,1,
dreamcatchers fe,dreamcatchers fe,,1,
eLITenergy,eLITenergy,,1,
eevochka + focusbtw Team,eevochka + focusbtw Team,,1,
eternal premium,eternal premium,,1,
ex-Anonymo Esports,ex-Anonymo Esports,,1,'ex-' roster (players who left 'Anonymo Esports') - distinct entity. Do not merge.
ex-Aurora Gaming,ex-Aurora Gaming,,1,'ex-' roster (players who left 'Aurora Gaming') - distinct entity. Do not merge.
ex-Daystar,ex-Daystar,,1,'ex-' roster (players who left 'Daystar') - distinct entity. Do not merge.
ex-ENEIDA,ex-ENEIDA,,1,'ex-' roster (players who left 'ENEIDA') - distinct entity. Do not merge.
ex-GANK,ex-GANK,,1,'ex-' roster (players who left 'GANK') - distinct entity. Do not merge.
ex-Guild Eagles,ex-Guild Eagles,,1,'ex-' roster (players who left 'Guild Eagles') - distinct entity. Do not merge.
ex-Inner Circle,ex-Inner Circle,,1,'ex-' roster (players who left 'Inner Circle') - distinct entity. Do not merge.
ex-NAVI Junior,ex-NAVI Junior,,1,'ex-' roster (players who left 'NAVI Junior') - distinct entity. Do not merge.
ex-Partizan Esports,ex-Partizan Esports,,1,'ex-' roster (players who left 'Partizan Esports') - distinct entity. Do not merge.
ex-Passion UA,ex-Passion UA,,1,'ex-' roster (players who left 'Passion UA') - distinct entity. Do not merge.
ex-RUBY,ex-RUBY,,1,'ex-' roster (players who left 'RUBY') - distinct entity. Do not merge.
ex-Sprout,ex-Sprout,,1,'ex-' roster (players who left 'Sprout') - distinct entity. Do not merge.
ex-TALON,ex-TALON,,1,'ex-' roster (players who left 'TALON') - distinct entity. Do not merge.
ex-ThunderFlash,ex-ThunderFlash,,1,'ex-' roster (players who left 'ThunderFlash') - distinct entity. Do not merge.
ex-Zero Tenacity,ex-Zero Tenacity,,1,'ex-' roster (players who left 'Zero Tenacity') - distinct entity. Do not merge.
ex-sYnck,ex-sYnck,,1,'ex-' roster (players who left 'sYnck') - distinct entity. Do not merge.
fency&dogs,fency&dogs,,1,
francesinha,francesinha,,1,
ghoulsW,ghoulsW,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
hooch + RachelR Team,hooch + RachelR Team,,1,
huge sweaty,huge sweaty,,1,
hypewrld,hypewrld,,1,
illwill,illwill,,1,
inSanitY Sports,inSanitY Sports,,1,
informmix,informmix,,1,
kONO,kONO,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
kyousuke Team,kyousuke Team,,1,
lajtbitexe,lajtbitexe,,1,
los kogutos,los kogutos,,1,
m0NESY Team,m0NESY Team,,1,
m1xx,m1xx,,1,
m3wsu Team,m3wsu Team,,1,
magic,magic,,1,"Whitespace/case variant of the same team, merged on roster/time evidence: Magic(id=285585) & magic(id=285807): 5 shared players; Magic(id=285585) & magic(id=285813): 5 shared players; Magic(id=285585) & magic(id=285818): 5 shared players"
midnights,midnights,,1,
mix52,mix52,EXCLUDE_FROM_IDENTITY_DEPENDENT_FEATURES,0,Generic/placeholder-looking name typical of ad-hoc lower-tier rosters - needs manual review before use as an identity key. Phase 2.5 proposed decision: EXCLUDE_FROM_IDENTITY_DEPENDENT_FEATURES (see reports/unresolved_team_review.md).
moneyF,moneyF,,1,
moneytrees,moneytrees,,1,
mskLANERS,mskLANERS,,1,
my life be like,my life be like,,1,
n0rb3r7 Team,n0rb3r7 Team,,1,
nEvermore,nEvermore,,1,
noMERCY,noMERCY,,1,
paiN Gaming,paiN Gaming,,1,
playersclub,playersclub,,1,
premdesant,premdesant,,1,
premghouls,premghouls,,1,
regain,regain,,1,
sYnck,sYnck,,1,
samaloyod,samaloyod,,1,
skywhywalker + karavay Team,skywhywalker + karavay Team,,1,
straykids,straykids,,1,
sugaR + TpaBoMaH Team,sugaR + TpaBoMaH Team,,1,
sunday school,sunday school,,1,
tried Team,tried Team,,1,
tutel,tutel,,1,
underrated,underrated,,1,
vagrants,vagrants,,1,
vezet,vezet,,1,
w7m esports,w7m esports,,1,
watermelons,watermelons,,1,
xGOD,xGOD,,1,
xGoat,xGoat,,1,
yngods,yngods,,1,
zweih Team,zweih Team,,1,
Австралия,Австралия,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Австрия,Австрия,,1,
Азербайджан,Азербайджан,,1,
Албания,Албания,,1,
Аргентина,Аргентина,,1,
Армения,Армения,,1,
БелГУ,БелГУ,,1,
Беларусь,Беларусь,,1,
Бельгия,Бельгия,,1,
Болгария,Болгария,,1,
Босния и Герцеговина,Босния и Герцеговина,,1,
Великобритания,Великобритания,,1,
Венгрия,Венгрия,,1,
ГУАП,ГУАП,,1,
Германия,Германия,,1,
Греция,Греция,,1,
Грузия,Грузия,,1,
ДВГУПС,ДВГУПС,,1,
Дания,Дания,,1,
Израиль,Израиль,,1,
Иордания,Иордания,,1,
Ирландия,Ирландия,,1,
Исландия,Исландия,,1,
Испания,Испания,,1,
Казахстан,Казахстан,,1,
Канада,Канада,,1,
КиберДинамо,КиберДинамо,,1,
Косово,Косово,,1,
Латвия,Латвия,,1,
Люксембург,Люксембург,,1,
Мальта,Мальта,,1,
Молдова,Молдова,,1,
Монголия,Монголия,,1,
НГТУ,НГТУ,,1,
Нидерланды,Нидерланды,,1,
Норвегия,Норвегия,,1,
ПuBo3aBpbI,ПuBo3aBpbI,,1,
Польша,Польша,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Португалия,Португалия,,1,
РТУ МИРЭА,РТУ МИРЭА,,1,
РЭУ им. Плеханова,РЭУ им. Плеханова,,1,
Румыния,Румыния,,1,
СФУ,СФУ,,1,
США,США,,1,
Северная Македония,Северная Македония,,1,
Сербия,Сербия,,1,
Словакия,Словакия,,1,
Словения,Словения,,1,
Тунис,Тунис,,1,
Турция,Турция,,1,
УУНиТ,УУНиТ,,1,
Украина,Украина,,1,
УрФУ,УрФУ,,1,
Уэльс,Уэльс,,1,
Франция,Франция,,1,
Хорватия,Хорватия,,1,
Черногория,Черногория,,1,
Чехия,Чехия,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Чили,Чили,,1,
Швейцария,Швейцария,,1,
Швеция,Швеция,,1,
ЮФУ,ЮФУ,,1,
Южно-Африканская Республика,Южно-Африканская Республика,,1,
秽土转生,秽土转生,,1,
