file(s),column_name,raw_dtype_note,granularity,null_pct_series_rows,null_pct_map_rows,known_before_match,leakage_risk_task_A_pre_veto_series,leakage_risk_task_B_map_specific,notes
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.6,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.6,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.6,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.6,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.8,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.8,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.8,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.8,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.8,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.8,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.8,5.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.8,5.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.8,5.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.8,5.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.8,5.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.8,5.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),51.7,6.9,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),51.7,6.9,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),51.7,6.9,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),51.7,6.9,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),51.7,6.9,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),51.7,6.9,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
derived (not a raw column),tier,string (1/2/3),series,0.0,0.0,yes,none,none,Not a raw column - only recoverable from which source file (tier1/2/3) a match came from. Recommend materializing explicitly at ingestion.
players.csv,player_id,string,player,n/a,n/a,n/a (lookup table),n/a,n/a,Pure id<->name lookup derived from the games files; player_name is blank in 54.8% of rows even though the games file itself has the name for most of those ids.
players.csv,player_name,string,player,n/a,n/a,n/a (lookup table),n/a,n/a,Pure id<->name lookup derived from the games files; player_name is blank in 54.8% of rows even though the games file itself has the name for most of those ids.
teams.csv,team_id,string,team,n/a,n/a,n/a (lookup table),n/a,n/a,Pure 1:1 derived export of the same non-persistent team_ids/names already in the games files. Does NOT resolve team identity - see Open Questions.
teams.csv,team_name,string,team,n/a,n/a,n/a (lookup table),n/a,n/a,Pure 1:1 derived export of the same non-persistent team_ids/names already in the games files. Does NOT resolve team identity - see Open Questions.
tournaments.csv,tournament,string,tournament,n/a,n/a,n/a (lookup table),n/a,n/a,Just a list of the 344 distinct tournament name strings - no tier/date/prize-pool/location attributes.
